OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
24,7,1141.03,9,0.0,美的 智能门铃 Pro,2个/包
25,3,687.57,6,0.1,格力 智能门铃 Elite,1台/件
26,3,727.45,10,0.0,格力 智能门铃 Elite,1台/件
26,5,1859.17,4,0.05,松下 智能扫地机器人 Elite,1套/箱
26,6,6577.43,2,0.15,亚马逊 智能空调 Max,1个/件
26,10,1385.28,17,0.1,松下 智能窗帘 Mini,3个/套
27,1,3905.63,10,0.0,博世 智能摄像头 Plus,1套/箱
27,2,324.7,7,0.05,格力 智能门铃 Advanced,5个/套
27,4,4588.59,8,0.05,亚马逊 智能门铃 Advanced,5个/套
27,5,1858.16,4,0.1,松下 智能扫地机器人 Elite,1套/箱
28,4,4595.17,4,0.2,亚马逊 智能门铃 Advanced,5个/套
28,5,1990.1,12,0.0,松下 智能扫地机器人 Elite,1套/箱
28,10,1370.63,5,0.0,松下 智能窗帘 Mini,3个/套
29,1,3836.32,14,0.15,博世 智能摄像头 Plus,1套/箱
29,7,1073.87,10,0.05,美的 智能门铃 Pro,2个/包
29,10,1437.77,16,0.05,松下 智能窗帘 Mini,3个/套
30,1,4035.56,20,0.05,博世 智能摄像头 Plus,1套/箱
30,2,317.06,6,0.1,格力 智能门铃 Advanced,5个/套
30,5,1923.37,1,0.1,松下 智能扫地机器人 Elite,1套/箱
30,6,6069.53,8,0.0,亚马逊 智能空调 Max,1个/件
30,9,3819.91,14,0.0,谷歌 智能体重秤 Ultra,1台/箱
31,3,664.9,20,0.1,格力 智能门铃 Elite,1台/件
31,4,4476.06,2,0.0,亚马逊 智能门铃 Advanced,5个/套
31,7,1081.27,10,0.0,美的 智能门铃 Pro,2个/包
31,8,9710.33,2,0.15,华为 智能灯具 Mini,1个/盒
31,9,3624.83,5,0.2,谷歌 智能体重秤 Ultra,1台/箱
32,2,341.72,14,0.15,格力 智能门铃 Advanced,5个/套
32,3,712.18,10,0.0,格力 智能门铃 Elite,1台/件
33,4,4322.14,19,0.0,亚马逊 智能门铃 Advanced,5个/套
33,7,1062.78,3,0.15,美的 智能门铃 Pro,2个/包
34,10,1419.28,13,0.2,松下 智能窗帘 Mini,3个/套
35,3,704.96,4,0.1,格力 智能门铃 Elite,1台/件
35,5,1872.77,7,0.1,松下 智能扫地机器人 Elite,1套/箱
35,9,3819.13,5,0.2,谷歌 智能体重秤 Ultra,1台/箱
36,1,3728.5,7,0.2,博世 智能摄像头 Plus,1套/箱
36,2,337.15,8,0.15,格力 智能门铃 Advanced,5个/套
36,3,679.73,4,0.15,格力 智能门铃 Elite,1台/件
36,8,9972.31,20,0.1,华为 智能灯具 Mini,1个/盒
36,10,1431.39,8,0.2,松下 智能窗帘 Mini,3个/套
37,3,673.69,18,0.1,格力 智能门铃 Elite,1台/件
37,8,9941.58,1,0.2,华为 智能灯具 Mini,1个/盒
38,2,322.08,1,0.2,格力 智能门铃 Advanced,5个/套
38,3,697.79,17,0.0,格力 智能门铃 Elite,1台/件
38,4,4568.42,18,0.0,亚马逊 智能门铃 Advanced,5个/套
38,9,3684.9,16,0.05,谷歌 智能体重秤 Ultra,1台/箱
39,7,1121.74,6,0.05,美的 智能门铃 Pro,2个/包
40,1,4003.5,4,0.15,博世 智能摄像头 Plus,1套/箱
40,3,690.86,15,0.0,格力 智能门铃 Elite,1台/件
40,6,6254.52,17,0.1,亚马逊 智能空调 Max,1个/件
40,8,10067.27,18,0.1,华为 智能灯具 Mini,1个/盒
41,1,3884.62,5,0.1,博世 智能摄像头 Plus,1套/箱
41,2,341.06,17,0.1,格力 智能门铃 Advanced,5个/套
41,7,1127.06,14,0.0,美的 智能门铃 Pro,2个/包
41,8,9755.41,3,0.05,华为 智能灯具 Mini,1个/盒
42,1,3725.12,2,0.1,博世 智能摄像头 Plus,1套/箱
42,9,3782.85,1,0.0,谷歌 智能体重秤 Ultra,1台/箱
42,10,1362.95,3,0.0,松下 智能窗帘 Mini,3个/套
43,2,326.01,12,0.1,格力 智能门铃 Advanced,5个/套
44,8,9815.52,6,0.2,华为 智能灯具 Mini,1个/盒
45,3,681.53,13,0.05,格力 智能门铃 Elite,1台/件
45,8,10102.2,14,0.2,华为 智能灯具 Mini,1个/盒
46,4,4270.96,18,0.0,亚马逊 智能门铃 Advanced,5个/套
46,10,1426.1,10,0.05,松下 智能窗帘 Mini,3个/套
47,1,3717.96,14,0.2,博世 智能摄像头 Plus,1套/箱
47,2,316.68,6,0.15,格力 智能门铃 Advanced,5个/套
47,6,6356.74,14,0.05,亚马逊 智能空调 Max,1个/件
47,7,1079.71,12,0.15,美的 智能门铃 Pro,2个/包
47,9,3598.51,12,0.15,谷歌 智能体重秤 Ultra,1台/箱
48,8,9797.32,9,0.05,华为 智能灯具 Mini,1个/盒
48,9,3848.24,7,0.2,谷歌 智能体重秤 Ultra,1台/箱
49,1,3682.14,10,0.2,博世 智能摄像头 Plus,1套/箱
50,2,314.21,14,0.1,格力 智能门铃 Advanced,5个/套
50,8,9705.19,2,0.15,华为 智能灯具 Mini,1个/盒
50,10,1452.23,7,0.2,松下 智能窗帘 Mini,3个/套
51,5,1913.78,20,0.2,松下 智能扫地机器人 Elite,1套/箱
51,8,9924.0,17,0.05,华为 智能灯具 Mini,1个/盒
52,1,3850.58,6,0.1,博世 智能摄像头 Plus,1套/箱
52,3,718.38,8,0.15,格力 智能门铃 Elite,1台/件
52,5,1914.26,15,0.15,松下 智能扫地机器人 Elite,1套/箱
52,8,9748.74,18,0.15,华为 智能灯具 Mini,1个/盒
53,1,3921.57,15,0.1,博世 智能摄像头 Plus,1套/箱
53,3,677.27,16,0.15,格力 智能门铃 Elite,1台/件
53,4,4227.17,17,0.0,亚马逊 智能门铃 Advanced,5个/套
53,7,1124.84,2,0.1,美的 智能门铃 Pro,2个/包
54,1,3750.56,16,0.15,博世 智能摄像头 Plus,1套/箱
54,4,4651.25,4,0.2,亚马逊 智能门铃 Advanced,5个/套
54,5,2029.86,15,0.05,松下 智能扫地机器人 Elite,1套/箱
54,7,1102.44,15,0.2,美的 智能门铃 Pro,2个/包
54,8,10275.58,14,0.1,华为 智能灯具 Mini,1个/盒
55,3,690.92,14,0.0,格力 智能门铃 Elite,1台/件
56,4,4440.92,14,0.05,亚马逊 智能门铃 Advanced,5个/套
57,10,1385.26,5,0.0,松下 智能窗帘 Mini,3个/套
58,5,2032.13,15,0.15,松下 智能扫地机器人 Elite,1套/箱
58,8,10299.5,3,0.15,华为 智能灯具 Mini,1个/盒
58,9,3960.12,14,0.15,谷歌 智能体重秤 Ultra,1台/箱
59,1,3885.16,9,0.0,博世 智能摄像头 Plus,1套/箱
59,2,318.25,14,0.2,格力 智能门铃 Advanced,5个/套
59,3,694.62,18,0.2,格力 智能门铃 Elite,1台/件
59,5,2023.98,3,0.2,松下 智能扫地机器人 Elite,1套/箱
59,10,1411.99,10,0.15,松下 智能窗帘 Mini,3个/套
60,6,6119.76,3,0.2,亚马逊 智能空调 Max,1个/件
60,7,1142.11,20,0.1,美的 智能门铃 Pro,2个/包
60,10,1455.39,9,0.0,松下 智能窗帘 Mini,3个/套
61,1,3926.38,7,0.0,博世 智能摄像头 Plus,1套/箱
61,3,706.36,3,0.2,格力 智能门铃 Elite,1台/件
61,5,2019.86,14,0.1,松下 智能扫地机器人 Elite,1套/箱
61,7,1081.91,15,0.05,美的 智能门铃 Pro,2个/包
61,8,9399.1,13,0.05,华为 智能灯具 Mini,1个/盒
62,2,318.73,10,0.0,格力 智能门铃 Advanced,5个/套
62,5,1941.78,8,0.2,松下 智能扫地机器人 Elite,1套/箱
62,6,6277.32,5,0.0,亚马逊 智能空调 Max,1个/件
62,9,3734.75,20,0.2,谷歌 智能体重秤 Ultra,1台/箱
63,1,3770.78,15,0.0,博世 智能摄像头 Plus,1套/箱
63,3,673.13,20,0.05,格力 智能门铃 Elite,1台/件
63,5,2033.08,4,0.15,松下 智能扫地机器人 Elite,1套/箱
63,6,6138.3,3,0.2,亚马逊 智能空调 Max,1个/件
63,10,1336.4,2,0.1,松下 智能窗帘 Mini,3个/套
64,1,3840.25,4,0.1,博世 智能摄像头 Plus,1套/箱
64,5,2038.27,19,0.2,松下 智能扫地机器人 Elite,1套/箱
64,6,6041.19,1,0.15,亚马逊 智能空调 Max,1个/件
64,9,3889.51,7,0.05,谷歌 智能体重秤 Ultra,1台/箱
64,10,1396.6,3,0.1,松下 智能窗帘 Mini,3个/套
65,8,9591.99,16,0.1,华为 智能灯具 Mini,1个/盒
66,1,3901.12,11,0.1,博世 智能摄像头 Plus,1套/箱
66,2,339.83,10,0.05,格力 智能门铃 Advanced,5个/套
66,3,664.34,6,0.0,格力 智能门铃 Elite,1台/件
66,5,1890.69,10,0.0,松下 智能扫地机器人 Elite,1套/箱
66,10,1335.82,19,0.0,松下 智能窗帘 Mini,3个/套
67,2,336.26,14,0.05,格力 智能门铃 Advanced,5个/套
67,5,1917.74,8,0.1,松下 智能扫地机器人 Elite,1套/箱
67,6,6379.28,17,0.05,亚马逊 智能空调 Max,1个/件
67,7,1168.96,6,0.0,美的 智能门铃 Pro,2个/包
67,8,10245.7,10,0.1,华为 智能灯具 Mini,1个/盒
68,1,3773.58,3,0.05,博世 智能摄像头 Plus,1套/箱
68,2,328.08,1,0.0,格力 智能门铃 Advanced,5个/套
68,3,730.03,10,0.05,格力 智能门铃 Elite,1台/件
68,5,1930.63,16,0.2,松下 智能扫地机器人 Elite,1套/箱
69,6,6372.79,6,0.2,亚马逊 智能空调 Max,1个/件
69,7,1127.83,14,0.0,美的 智能门铃 Pro,2个/包
70,5,1903.46,7,0.2,松下 智能扫地机器人 Elite,1套/箱
71,2,323.47,9,0.1,格力 智能门铃 Advanced,5个/套
71,4,4631.38,8,0.2,亚马逊 智能门铃 Advanced,5个/套
71,5,1926.81,15,0.0,松下 智能扫地机器人 Elite,1套/箱
71,9,3750.7,14,0.2,谷歌 智能体重秤 Ultra,1台/箱
71,10,1404.59,3,0.0,松下 智能窗帘 Mini,3个/套
72,2,324.04,7,0.15,格力 智能门铃 Advanced,5个/套
72,3,709.17,13,0.0,格力 智能门铃 Elite,1台/件
72,5,2008.37,12,0.05,松下 智能扫地机器人 Elite,1套/箱
72,6,6495.15,19,0.05,亚马逊 智能空调 Max,1个/件
72,8,9915.96,20,0.1,华为 智能灯具 Mini,1个/盒
73,4,4550.3,14,0.15,亚马逊 智能门铃 Advanced,5个/套
73,8,10080.78,10,0.2,华为 智能灯具 Mini,1个/盒
73,9,3713.84,8,0.1,谷歌 智能体重秤 Ultra,1台/箱
73,10,1401.58,13,0.05,松下 智能窗帘 Mini,3个/套
74,1,3697.44,9,0.05,博世 智能摄像头 Plus,1套/箱
74,3,723.95,4,0.1,格力 智能门铃 Elite,1台/件
74,4,4398.04,7,0.0,亚马逊 智能门铃 Advanced,5个/套
74,7,1139.35,11,0.15,美的 智能门铃 Pro,2个/包
75,1,3942.97,13,0.05,博世 智能摄像头 Plus,1套/箱
75,5,1881.04,6,0.1,松下 智能扫地机器人 Elite,1套/箱
76,3,686.14,13,0.2,格力 智能门铃 Elite,1台/件
76,4,4436.24,20,0.0,亚马逊 智能门铃 Advanced,5个/套
76,9,3718.3,11,0.15,谷歌 智能体重秤 Ultra,1台/箱
77,9,3711.8,2,0.2,谷歌 智能体重秤 Ultra,1台/箱
78,1,3933.31,17,0.0,博世 智能摄像头 Plus,1套/箱
78,2,342.68,4,0.1,格力 智能门铃 Advanced,5个/套
78,4,4494.14,5,0.0,亚马逊 智能门铃 Advanced,5个/套
78,8,10267.89,14,0.15,华为 智能灯具 Mini,1个/盒
78,9,3954.64,2,0.05,谷歌 智能体重秤 Ultra,1台/箱
79,4,4625.84,7,0.1,亚马逊 智能门铃 Advanced,5个/套
79,7,1121.61,6,0.05,美的 智能门铃 Pro,2个/包
79,9,3839.28,8,0.15,谷歌 智能体重秤 Ultra,1台/箱
79,10,1452.95,9,0.0,松下 智能窗帘 Mini,3个/套
80,4,4614.81,14,0.1,亚马逊 智能门铃 Advanced,5个/套
80,5,1887.67,17,0.05,松下 智能扫地机器人 Elite,1套/箱
80,7,1077.65,17,0.2,美的 智能门铃 Pro,2个/包
80,10,1368.42,11,0.1,松下 智能窗帘 Mini,3个/套
81,4,4478.95,20,0.1,亚马逊 智能门铃 Advanced,5个/套
81,5,1885.68,17,0.05,松下 智能扫地机器人 Elite,1套/箱
81,8,9736.0,20,0.05,华为 智能灯具 Mini,1个/盒
81,9,3613.76,7,0.2,谷歌 智能体重秤 Ultra,1台/箱
82,1,3720.04,12,0.15,博世 智能摄像头 Plus,1套/箱
83,1,3956.01,4,0.2,博世 智能摄像头 Plus,1套/箱
83,4,4429.55,16,0.2,亚马逊 智能门铃 Advanced,5个/套
83,5,1866.24,7,0.0,松下 智能扫地机器人 Elite,1套/箱
83,6,6073.99,10,0.15,亚马逊 智能空调 Max,1个/件
83,10,1376.8,13,0.05,松下 智能窗帘 Mini,3个/套
84,9,3700.69,3,0.2,谷歌 智能体重秤 Ultra,1台/箱
84,10,1432.44,9,0.15,松下 智能窗帘 Mini,3个/套
85,2,317.88,2,0.15,格力 智能门铃 Advanced,5个/套
85,5,1902.68,8,0.0,松下 智能扫地机器人 Elite,1套/箱
85,7,1169.69,1,0.2,美的 智能门铃 Pro,2个/包
85,9,3871.06,14,0.0,谷歌 智能体重秤 Ultra,1台/箱
85,10,1348.09,6,0.15,松下 智能窗帘 Mini,3个/套
86,7,1082.98,4,0.15,美的 智能门铃 Pro,2个/包
86,10,1394.8,11,0.2,松下 智能窗帘 Mini,3个/套
87,9,3938.2,16,0.0,谷歌 智能体重秤 Ultra,1台/箱
88,1,3963.58,2,0.15,博世 智能摄像头 Plus,1套/箱
88,3,666.71,14,0.05,格力 智能门铃 Elite,1台/件
88,4,4559.17,11,0.1,亚马逊 智能门铃 Advanced,5个/套
88,5,1969.81,16,0.1,松下 智能扫地机器人 Elite,1套/箱
88,8,9492.28,5,0.2,华为 智能灯具 Mini,1个/盒
89,1,3861.73,16,0.1,博世 智能摄像头 Plus,1套/箱
89,3,688.26,14,0.0,格力 智能门铃 Elite,1台/件
89,4,4587.33,17,0.15,亚马逊 智能门铃 Advanced,5个/套
90,2,334.8,10,0.0,格力 智能门铃 Advanced,5个/套
91,2,315.1,16,0.0,格力 智能门铃 Advanced,5个/套
91,4,4374.44,10,0.2,亚马逊 智能门铃 Advanced,5个/套
91,5,2040.73,8,0.1,松下 智能扫地机器人 Elite,1套/箱
91,7,1076.29,8,0.2,美的 智能门铃 Pro,2个/包
91,8,10105.08,10,0.0,华为 智能灯具 Mini,1个/盒
92,6,6423.15,13,0.15,亚马逊 智能空调 Max,1个/件
92,8,9549.69,4,0.2,华为 智能灯具 Mini,1个/盒
93,2,320.96,8,0.0,格力 智能门铃 Advanced,5个/套
93,4,4463.73,9,0.05,亚马逊 智能门铃 Advanced,5个/套
93,7,1093.04,15,0.2,美的 智能门铃 Pro,2个/包
93,8,9464.23,18,0.05,华为 智能灯具 Mini,1个/盒
93,10,1435.95,7,0.2,松下 智能窗帘 Mini,3个/套
94,3,716.79,7,0.15,格力 智能门铃 Elite,1台/件
94,5,2016.9,11,0.0,松下 智能扫地机器人 Elite,1套/箱
95,1,3666.22,3,0.0,博世 智能摄像头 Plus,1套/箱
95,5,1937.74,19,0.2,松下 智能扫地机器人 Elite,1套/箱
95,7,1162.26,19,0.0,美的 智能门铃 Pro,2个/包
95,8,9620.48,18,0.2,华为 智能灯具 Mini,1个/盒
96,4,4614.96,19,0.1,亚马逊 智能门铃 Advanced,5个/套
96,6,6522.42,11,0.15,亚马逊 智能空调 Max,1个/件
96,8,10020.35,5,0.15,华为 智能灯具 Mini,1个/盒
97,2,329.83,6,0.0,格力 智能门铃 Advanced,5个/套
97,5,1953.08,16,0.05,松下 智能扫地机器人 Elite,1套/箱
97,6,6340.09,7,0.15,亚马逊 智能空调 Max,1个/件
97,7,1121.36,10,0.1,美的 智能门铃 Pro,2个/包
97,9,3834.0,17,0.15,谷歌 智能体重秤 Ultra,1台/箱
98,1,3735.0,17,0.05,博世 智能摄像头 Plus,1套/箱
98,2,333.27,1,0.2,格力 智能门铃 Advanced,5个/套
98,3,667.3,16,0.05,格力 智能门铃 Elite,1台/件
98,8,9740.08,8,0.05,华为 智能灯具 Mini,1个/盒
99,2,331.9,17,0.2,格力 智能门铃 Advanced,5个/套
99,7,1113.55,13,0.0,美的 智能门铃 Pro,2个/包
99,9,3906.72,20,0.05,谷歌 智能体重秤 Ultra,1台/箱
100,6,6203.44,5,0.05,亚马逊 智能空调 Max,1个/件
